Brand,Device,CC Count,NRPN Count,PC Count,Total Parameters,MIDI Thru,MIDI Clock,Phantom Power
Electro Harmonix,45000,29,0,0,29,No,No,None
Electro Harmonix,95000,67,0,0,67,No,No,None
Electro Harmonix,ModRex,22,0,0,22,No,No,None
Electro Harmonix,8-Step Program,63,0,0,63,No,No,None
Electro Harmonix,hog_2,29,0,0,29,No,No,None
Electro Harmonix,holiest_grail,10,0,0,10,No,No,None
Electro Harmonix,v256_vocoder,18,0,0,18,No,No,None
Electro Harmonix,HOG2,40,0,0,40,No,No,None
Electronic Audio Experiments,Sending v2,51,0,0,51,No,No,None
Electronic Audio Experiments,Sending v2 (Firmware 2.0),51,0,0,51,No,No,None
Elektron,Analog Four MKII,71,226,0,297,No,No,None
Elektron,analog_four,32,0,0,32,No,No,None
Elektron,analog_heat_+fx,103,103,0,206,No,No,None
Elektron,analog_heat,0,42,0,42,No,No,None
Elektron,Analog Rytm MKII,315,299,0,614,No,No,None
Elektron,digitakt_ii,68,0,0,68,No,No,None
Elektron,Digitakt,73,54,0,127,No,No,None
Elektron,digitone_ii,152,165,0,317,No,No,None
Elektron,Digitone,119,114,0,233,No,No,None
Elektron,machinedrum,104,0,0,104,No,No,None
Elektron,model_cycles,30,0,0,30,No,No,None
Elektron,monomachine,61,0,0,61,No,No,None
Elektron,octatrack,219,0,0,219,No,No,None
Elektron,syntakt,391,374,0,765,No,No,None
Elektron,Model:Samples,29,0,0,29,No,No,None
Elektron,Model:Cycles,29,0,0,29,No,No,None
Elektron,Analog Drive,26,0,0,26,No,No,None
Elektron,Analog Heat MKII,65,0,0,65,No,No,None
Elektron,Digitone Keys,111,0,0,111,No,No,None
Elektron,Octatrack MKII,116,0,0,116,No,No,None
Empress,Echo System,43,0,0,43,No,Yes,None
Empress,Reverb,53,0,0,53,No,Yes,None
Empress,ZOIA,2,0,0,2,No,No,None
Empress,Phaser,10,0,0,10,No,Yes,None
Empress,Tremolo2,30,0,0,30,No,No,None
ENGL,e658,19,0,0,19,No,No,None
ENGL,Savage 60 Mark II E630II,28,0,0,28,No,No,None
ENGL,Savage 120 Mark II E610II,28,0,0,28,No,No,None
ENGL,Invader II E642II,12,0,0,12,No,No,None
ENGL,Steve Morse Signature E662,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E663,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E661,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E660,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E656,1,0,0,1,No,No,None
